"optimizer","dataset","success_rate","avg_time","median_time","min_time","max_time","sd_time","avg_objective","avg_rel_err","n_trials","conf_success_rate","avg_conf_time","avg_throughput"
"de","large_bubble",100,0.93786096572876,0.922368764877319,0.904007434844971,1.00900292396545,0.0431727625430646,0.204383670311902,0.00811705954323211,5,100,178.864493608475,1.67724736166298
"de","medium_bubble",100,0.553099679946899,0.547814846038818,0.544630765914917,0.577027320861816,0.0134891623281046,0.0788678097362083,0.0022702747538167,5,100,39.9371047019958,7.5118114404775
"de","medium_regular",100,0.586494636535644,0.580944776535034,0.573408842086792,0.611890554428101,0.0161100229199524,0.116016038042762,0.000445577020636495,5,100,43.2584290504456,6.93506460093955
"de","small_bubble",100,0.423187065124512,0.413906097412109,0.411866903305054,0.459872484207153,0.0205839078796161,0.0334441255361431,0.000630307759927658,5,100,12.8606240749359,23.3270172778528
"de","small_regular",100,0.420790672302246,0.414809942245483,0.413166522979736,0.445034027099609,0.0136685864963585,0.0337713017242031,0.00193785031378714,5,100,13.8532133102417,21.6556255419968
"de","volatile_data",100,0.485383558273315,0.480499982833862,0.477926969528198,0.507415056228638,0.0123892186592015,0.414600518260072,0.00472519358485818,5,100,26.9103844165802,11.1481127640511
"hybrid","large_bubble",0,0.112829923629761,0.107486486434937,0.105303287506104,0.126352071762085,0.00918256369597915,NA,NA,5,100,1.54474663734436,194.206604984584
"hybrid","medium_bubble",0,0.111859369277954,0.107269048690796,0.105271816253662,0.121897220611572,0.00812961037706422,NA,NA,5,100,1.15769982337952,259.134530334686
"hybrid","medium_regular",0,0.120952081680298,0.118868589401245,0.114444494247437,0.135752201080322,0.00851099949423357,NA,NA,5,100,1.21297955513,247.324861108518
"hybrid","small_bubble",0,0.114771461486816,0.107677221298218,0.104853391647339,0.133729696273804,0.012371507421492,NA,NA,5,100,1.00438857078552,298.689181384624
"hybrid","small_regular",0,0.112174034118652,0.106352567672729,0.104518413543701,0.137594699859619,0.0142378343518686,NA,NA,5,100,1.0186083316803,294.519483759886
"hybrid","volatile_data",0,0.122641324996948,0.116559982299805,0.115645885467529,0.147498369216919,0.013909021644626,NA,NA,5,100,1.17473292350769,255.377195953797
"mlsl","large_bubble",100,1.18032736778259,1.1708037853241,1.15755605697632,1.24083518981934,0.0344304449704096,0.20444488036303,0.00795638750754914,5,100,230.842570781708,1.29958698252278
"mlsl","medium_bubble",100,0.720577526092529,0.706147193908691,0.696151733398438,0.796469211578369,0.0426757069123987,1.73931849179495,0.00211884033091237,5,100,51.88685131073,5.78181162320716
"mlsl","medium_regular",100,0.677618598937988,0.673782587051392,0.670807838439941,0.694979190826416,0.00993895580829952,0.116016066720103,0.000439216944706774,5,100,53.3849837779999,5.61955776267616
"mlsl","small_bubble",100,0.532208919525146,0.52208685874939,0.519754409790039,0.5645751953125,0.0188764512376589,0.033679388974206,0.00155740052883742,5,100,16.6396026611328,18.0292766666086
"mlsl","small_regular",100,0.516394996643066,0.512221574783325,0.510844230651855,0.534641027450562,0.0102187984209495,0.0396113075090697,0.0027878238374025,5,100,16.3258366584778,18.3757810564774
"mlsl","volatile_data",100,0.639468240737915,0.641449213027954,0.62842845916748,0.652784585952759,0.0106348529524523,0.414600570689673,0.0047466225301565,5,100,34.2161953449249,8.76777786003893
