"dataset","optimizer","trial","success","time_seconds","objective_value","tc","m","w","A","B","C1","C2","rel_err","oscillations","damping","error_message"
"small_bubble","mlsl",1,TRUE,0.5645751953125,0.033679388974206,2020.29819678125,0.395737881543066,12.5026703553416,4.93096820681469,-3.01926187476146,-0.980494776995478,0.506985782871325,0.00155740052883742,22.2807681417414,0.0865784613497146,""
"small_bubble","mlsl",2,TRUE,0.533323049545288,0.033679388974206,2020.29819678125,0.395737881543066,12.5026703553416,4.93096820681469,-3.01926187476146,-0.980494776995478,0.506985782871325,0.00155740052883742,22.2807681417414,0.0865784613497146,""
"small_bubble","mlsl",3,TRUE,0.519754409790039,0.033679388974206,2020.29819678125,0.395737881543066,12.5026703553416,4.93096820681469,-3.01926187476146,-0.980494776995478,0.506985782871325,0.00155740052883742,22.2807681417414,0.0865784613497146,""
"small_bubble","mlsl",4,TRUE,0.52208685874939,0.033679388974206,2020.29819678125,0.395737881543066,12.5026703553416,4.93096820681469,-3.01926187476146,-0.980494776995478,0.506985782871325,0.00155740052883742,22.2807681417414,0.0865784613497146,""
"small_bubble","mlsl",5,TRUE,0.521305084228516,0.033679388974206,2020.29819678125,0.395737881543066,12.5026703553416,4.93096820681469,-3.01926187476146,-0.980494776995478,0.506985782871325,0.00155740052883742,22.2807681417414,0.0865784613497146,""
"small_bubble","de",1,TRUE,0.459872484207153,0.0334441255361431,2020.29799306846,0.39050457357588,12.4788975370303,4.94535167799109,-3.02186201162443,-0.983804638794454,0.477859071414455,0.00063030707576768,22.2530603095073,0.0864607203152014,""
"small_bubble","de",2,TRUE,0.411866903305054,0.0334441255361431,2020.29799306856,0.390504570681574,12.4788975435663,4.94535168794413,-3.02186201532928,-0.98380463185759,0.47785907178279,0.000630308057433968,22.2530603140199,0.086460720215639,""
"small_bubble","de",3,TRUE,0.416778087615967,0.0334441255361431,2020.29799306854,0.390504571779434,12.4788975421828,4.94535168429768,-3.02186201404246,-0.9838046341873,0.477859072126908,0.00063030783015529,22.253060313047,0.0864607202539359,""
"small_bubble","de",4,TRUE,0.413511753082275,0.0334441255361432,2020.29799306859,0.390504575342544,12.4788975510283,4.94535167366311,-3.02186201134257,-0.983804635268653,0.477859086073315,0.000630307882070114,22.2530603247485,0.0864607203457162,""
"small_bubble","de",5,TRUE,0.413906097412109,0.0334441255361431,2020.29799306862,0.390504572255045,12.4788975592024,4.94535168399192,-3.02186201546174,-0.983804624273573,0.477859095061415,0.000630307954211237,22.2530603371904,0.0864607201947379,""
"small_bubble","hybrid",1,FALSE,0.133729696273804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Error in lppls_estimate(data, plot = FALSE, optimizer = optimizer) : 
  optimizer must be one of: mlsl, de
"
"small_bubble","hybrid",2,FALSE,0.104853391647339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Error in lppls_estimate(data, plot = FALSE, optimizer = optimizer) : 
  optimizer must be one of: mlsl, de
"
"small_bubble","hybrid",3,FALSE,0.120947360992432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Error in lppls_estimate(data, plot = FALSE, optimizer = optimizer) : 
  optimizer must be one of: mlsl, de
"
"small_bubble","hybrid",4,FALSE,0.10664963722229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Error in lppls_estimate(data, plot = FALSE, optimizer = optimizer) : 
  optimizer must be one of: mlsl, de
"
"small_bubble","hybrid",5,FALSE,0.107677221298218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Error in lppls_estimate(data, plot = FALSE, optimizer = optimizer) : 
  optimizer must be one of: mlsl, de
"
"medium_bubble","mlsl",1,TRUE,0.796469211578369,1.73931849179495,2020.57972075361,0.6232860310528,13.058756685338,4.34665827554034,-2.58020022689948,-1.02336007265969,0.826784110787583,0.00211884033091237,22.7274270598872,0.093607530176425,""
"medium_bubble","mlsl",2,TRUE,0.696151733398438,1.73931849179495,2020.57972075361,0.6232860310528,13.058756685338,4.34665827554034,-2.58020022689948,-1.02336007265969,0.826784110787583,0.00211884033091237,22.7274270598872,0.093607530176425,""
"medium_bubble","mlsl",3,TRUE,0.70622181892395,1.73931849179495,2020.57972075361,0.6232860310528,13.058756685338,4.34665827554034,-2.58020022689948,-1.02336007265969,0.826784110787583,0.00211884033091237,22.7274270598872,0.093607530176425,""
"medium_bubble","mlsl",4,TRUE,0.697897672653198,1.73931849179495,2020.57972075361,0.6232860310528,13.058756685338,4.34665827554034,-2.58020022689948,-1.02336007265969,0.826784110787583,0.00211884033091237,22.7274270598872,0.093607530176425,""
"medium_bubble","mlsl",5,TRUE,0.706147193908691,1.73931849179495,2020.57972075361,0.6232860310528,13.058756685338,4.34665827554034,-2.58020022689948,-1.02336007265969,0.826784110787583,0.00211884033091237,22.7274270598872,0.093607530176425,""
"medium_bubble","de",1,TRUE,0.577027320861816,0.0788678097362081,2020.57116872029,0.364637735513757,12.4671221549192,5.03719803401236,-3.06215444110336,-0.94564327573766,0.444100342335098,0.0022702749797652,22.2358246025047,0.085726939104281,""
"medium_bubble","de",2,TRUE,0.547814846038818,0.0788678097362085,2020.57116872029,0.364637735903823,12.4671221544662,5.03719803237023,-3.06215443996116,-0.945643276498466,0.444100341842356,0.00227027504682113,22.2358246014339,0.0857269391278036,""
"medium_bubble","de",3,TRUE,0.544630765914917,0.0788678097362084,2020.57116872027,0.364637736282797,12.467122154284,5.03719803027774,-3.0621544380724,-0.945643276510221,0.444100342866393,0.00227027475476406,22.2358246028343,0.0857269391286848,""
